image;id;name;name2;description;price;url;category;forever_url
https://iglika.me/products_img/Product_details_JPG/1070b.jpg;1070;Forever Lean;Форевър Лийн;Помага за блокиране на абсорбцията на калории от мазнини и въглехидрати.;86.44 лв.;1070.html;Контрол на теглото;https://thealoeveraco.shop/ChtZcctu
https://iglika.me/products_img/Product_details_JPG/1071b.jpg;1071;Forever FastBreak;Форевър Фаст Брейк;Вкусен, пълен с витамини и зареден с 11 грама протеин.;10.31 лв.;1071.html;Контрол на теглото;https://thealoeveraco.shop/fHDy4fww
https://iglika.me/products_img/Product_details_JPG/1072b.jpg;1072;DX4 Body Balancing System;DX4 Балансираща програма;Четиридневна програма, която помага за рестартиране на вашето физическо, ментално и духовно здраве чрез седем хранителни продукта, практики за установяване на мисленето и ръководство за приемане на храната.;320.50 лв.;1072.html;Контрол на теглото;https://thealoeveraco.shop/wcHFYOEU
https://iglika.me/products_img/Product_details_JPG/1087b.jpg;1074;F15 Beginner/Chocolate;Ф15 Начинаещи/Шоколад;15-дневна програма за напреднали в областта на храненето и фитнеса, която може да ви помогне да промените своята рутина за фитнес и хранене.;337.32 лв.;1074.html;Контрол на теглото;https://thealoeveraco.shop/iUAcpdl3
https://iglika.me/products_img/Product_details_JPG/1086b.jpg;1086;F15 Beginner/Vanilla;Ф15 Начинаещи/Ванилия;15-дневна програма за напреднали в областта на храненето и фитнеса, която може да ви помогне да промените своята рутина за фитнес и хранене.;337.32 лв.;1086.html;Контрол на теглото;https://thealoeveraco.shop/85Mxzokm
https://iglika.me/products_img/Product_details_JPG/1087b.jpg;1087;F15 Intermediate/Chocolate;Ф15 Средно напреднали/Шоколад;15-дневна програма за напреднали в областта на храненето и фитнеса, която може да ви помогне да промените своята рутина за фитнес и хранене.;337.32 лв.;1087.html;Контрол на теглото;https://thealoeveraco.shop/uJ2W3qgd
https://iglika.me/products_img/Product_details_JPG/1086b.jpg;1088;F15 Intermediate/Vanilla;Ф15 Средно напреднали/Ванилия;15-дневна програма за напреднали в областта на храненето и фитнеса, която може да ви помогне да промените своята рутина за фитнес и хранене.;337.32 лв.;1088.html;Контрол на теглото;https://thealoeveraco.shop/8n6lRvsU
https://iglika.me/products_img/Product_details_JPG/1087b.jpg;1089;F15 Advanced/Chocolate;Ф15 Напреднали/Шоколад;15-дневна програма за напреднали в областта на храненето и фитнеса, която може да ви помогне да промените своята рутина за фитнес и хранене.;337.32 лв.;1089.html;Контрол на теглото;https://thealoeveraco.shop/UMWgAiQK
https://iglika.me/products_img/Product_details_JPG/1086b.jpg;1090;F15 Advanced/Vanilla;Ф15 Напреднали/Ванилия;15-дневна програма за напреднали в областта на храненето и фитнеса, която може да ви помогне да промените своята рутина за фитнес и хранене.;337.32 лв.;1090.html;Контрол на теглото;https://thealoeveraco.shop/2nUDNCS1
https://iglika.me/products_img/Product_details_JPG/1073b.jpg;1073;Clean-9/Gel-Vanilla;Клийн-9/Алое Вера гел-Ванилия;Програмата включва различни продукти, които ще ви помогнат да постигнете вашите цели за отслабване, както и физически упражнения.;270.32 лв.;1073.html;Контрол на теглото;https://thealoeveraco.shop/BzXELmWS
https://iglika.me/products_img/Product_details_JPG/1091b.jpg;1091;Clean-9/Gel-Chocolate;Клийн-9/Алое Вера гел-Шоколад;Програмата включва различни продукти, които ще ви помогнат да постигнете вашите цели за отслабване, както и физически упражнения.;270.32 лв.;1091.html;Контрол на теглото;https://thealoeveraco.shop/Ii4Jppg7
https://iglika.me/products_img/Product_details_JPG/1092b.jpg;1092;Clean-9/Berry-Vanilla;Клийн-9/Алое Бери нектар-Ванилия;Програмата включва различни продукти, които ще ви помогнат да постигнете вашите цели за отслабване, както и физически упражнения.;270.32 лв.;1092.html;Контрол на теглото;https://thealoeveraco.shop/LKZEM9bu
https://iglika.me/products_img/Product_details_JPG/1093b.jpg;1093;Clean-9/Berry-Chocolate;Клийн-9/Алое Бери нектар-Шоколад;Програмата включва различни продукти, които ще ви помогнат да постигнете вашите цели за отслабване, както и физически упражнения.;270.32 лв.;1093.html;Контрол на теглото;https://thealoeveraco.shop/jV6PoGDS
https://iglika.me/products_img/Product_details_JPG/1094b.jpg;1094;Clean-9/Peach-Vanilla;Клийн-9/Алое Праскова-Ванилия;Програмата включва различни продукти, които ще ви помогнат да постигнете вашите цели за отслабване, както и физически упражнения.;270.32 лв.;1094.html;Контрол на теглото;https://thealoeveraco.shop/N000Bh2N
https://iglika.me/products_img/Product_details_JPG/1095b.jpg;1095;Clean-9/Peach-Chocolate;Клийн-9/Алое Праскова-Шоколад ;Програмата включва различни продукти, които ще ви помогнат да постигнете вашите цели за отслабване, както и физически упражнения.;270.32 лв.;1095.html;Контрол на теглото;https://thealoeveraco.shop/C637wOsi
